Program,Certificate Type,Type,Filename,URL,Status
Computer Programmer - Business Applications,CCC,Course List,Computer_Programmer_-_Business_Applications_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/66045.pdf,Downloaded
Computer Programmer - Business Applications,CCC,Course Sequence,Computer_Programmer_-_Business_Applications_Course_Sequence_2025.pdf,https://www.mdc.edu/academics/programs/csg/CCC_ComputerProgrammerBusinessApplications_csg.pdf,Downloaded
Computer Programmer - Mobile Applications Development,CCC,Course List,Computer_Programmer_-_Mobile_Applications_Development_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/66036.pdf,Downloaded
Computer Programmer - Mobile Applications Development,CCC,Course Sequence,Computer_Programmer_-_Mobile_Applications_Development_Course_Sequence_2025.pdf,https://www.mdc.edu/academics/programs/csg/CCC_ComputerProgrammerMobileApplicationsDevelopment_csg.pdf,Downloaded
Crime Scene Technician,CCC,Course List,Crime_Scene_Technician_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/66072.pdf,Downloaded
Crime Scene Technician,CCC,Course Sequence,N/A,https://www.mdc.edu/crimescenetechnician/,PDF not found
Cruise Line Operations,CCC,Course List,Cruise_Line_Operations_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/65053.pdf,Downloaded
Cruise Line Operations,CCC,Course Sequence,N/A,https://www.mdc.edu/cruiseoperations,PDF not found
Culinary Arts Management Operations,CCC,Course List,Culinary_Arts_Management_Operations_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/65060.pdf,Downloaded
Culinary Arts Management Operations,CCC,Course Sequence,Culinary_Arts_Management_Operations_Course_Sequence_2025.pdf,https://www.mdc.edu/academics/programs/csg/CCC_CulinaryArtsManagementOperations_csg.pdf,Downloaded
Cybersecurity Analyst,CCC,Course List,Cybersecurity_Analyst_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/66061.pdf,Downloaded
Cybersecurity Analyst,CCC,Course Sequence,Cybersecurity_Analyst_Course_Sequence_2025.pdf,https://www.mdc.edu/academics/programs/csg/CCC_CybersecurityAnalyst_csg.pdf,Downloaded
Digital Marketing Specialist,CCC,Course List,Digital_Marketing_Specialist_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/65096.pdf,Downloaded
Digital Marketing Specialist,CCC,Course Sequence,N/A,https://www.mdc.edu/digitalmarketing/,PDF not found
Digital Marketing Strategy,CCC,Course List,Digital_Marketing_Strategy_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/65102.pdf,Downloaded
Digital Marketing Strategy,CCC,Course Sequence,N/A,https://www.mdc.edu/digitalmarketingstrategy/,PDF not found
Early Childhood Education - Administrator,CCC,Course List,Early_Childhood_Education_-_Administrator_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/60004.pdf,Downloaded
Early Childhood Education - Administrator,CCC,Course Sequence,N/A,https://www.mdc.edu/earlychildhoodadmincertificate/,PDF not found
Early Childhood Education - Child Development Early Intervention Specialization,CCC,Course List,Early_Childhood_Education_-_Child_Development_Early_Intervention_Specialization_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/60007.pdf,Downloaded
Early Childhood Education - Child Development Early Intervention Specialization,CCC,Course Sequence,N/A,https://www.mdc.edu/earlychildhoodearlyintervention,PDF not found
Early Childhood Education - Early Childhood Education Inclusion Specialization,CCC,Course List,Early_Childhood_Education_-_Early_Childhood_Education_Inclusion_Specialization_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/60006.pdf,Downloaded
Early Childhood Education - Early Childhood Education Inclusion Specialization,CCC,Course Sequence,N/A,https://www.mdc.edu/earlychildhoodinclusion,PDF not found
Early Childhood Education - Preschool,CCC,Course List,Early_Childhood_Education_-_Preschool_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/60003.pdf,Downloaded
Early Childhood Education - Preschool,CCC,Course Sequence,N/A,https://www.mdc.edu/earlychildhoodpreschoolcertificate/,PDF not found
Emergency Medical Technician,CCC,Course List,Emergency_Medical_Technician_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/63013.pdf,Downloaded
Emergency Medical Technician,CCC,Course Sequence,Emergency_Medical_Technician_Course_Sequence_2025.pdf,https://www.mdc.edu/academics/programs/csg/CCC_EmergencyMedicalTechnician_csg.pdf,Downloaded
Endoscopic Technician,CCC,Course List,Endoscopic_Technician_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/63030.pdf,Downloaded
Endoscopic Technician,CCC,Course Sequence,Endoscopic_Technician_Course_Sequence_2025.pdf,https://www.mdc.edu/academics/programs/csg/CCC_EndoscopicTechnician_csg.pdf,Downloaded
Engineering Technology Support Specialist,CCC,Course List,Engineering_Technology_Support_Specialist_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/66052.pdf,Downloaded
Engineering Technology Support Specialist,CCC,Course Sequence,N/A,https://www.mdc.edu/engineeringtechnology/,PDF not found
Enterprise Cloud Computing,CCC,Course List,Enterprise_Cloud_Computing_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/66058.pdf,Downloaded
Enterprise Cloud Computing,CCC,Course Sequence,N/A,https://www.mdc.edu/cloudcomputingcertificate/,PDF not found
Film Production Fundamentals,CCC,Course List,Film_Production_Fundamentals_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/61001.pdf,Downloaded
Film Production Fundamentals,CCC,Course Sequence,N/A,https://www.mdc.edu/filmproductionfundamentals/,PDF not found
Florida Funeral Director,CCC,Course List,Florida_Funeral_Director_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/63024.pdf,Downloaded
Florida Funeral Director,CCC,Course Sequence,N/A,https://www.mdc.edu/funeraldirector/,PDF not found
Food and Beverage Management,CCC,Course List,Food_and_Beverage_Management_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/65051.pdf,Downloaded
Food and Beverage Management,CCC,Course Sequence,N/A,https://www.mdc.edu/foodbeverage,PDF not found
Food and Beverage Operations,CCC,Course List,Food_and_Beverage_Operations_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/65058.pdf,Downloaded
Food and Beverage Operations,CCC,Course Sequence,N/A,https://www.mdc.edu/foodbeverageoperations,PDF not found
Food and Beverage Specialist,CCC,Course List,Food_and_Beverage_Specialist_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/65057.pdf,Downloaded
Food and Beverage Specialist,CCC,Course Sequence,N/A,https://www.mdc.edu/foodbeveragespecialist,PDF not found
Geographic Information Systems,CCC,Course List,Geographic_Information_Systems_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/66080.pdf,Downloaded
Geographic Information Systems,CCC,Course Sequence,N/A,https://www.mdc.edu/gis/,PDF not found
Graphic Design Support,CCC,Course List,Graphic_Design_Support_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/61002.pdf,Downloaded
Graphic Design Support,CCC,Course Sequence,N/A,https://www.mdc.edu/graphicdesignspecialist/,PDF not found
Health Care Services Specialist,CCC,Course List,Health_Care_Services_Specialist_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/63021.pdf,Downloaded
Health Care Services Specialist,CCC,Course Sequence,Health_Care_Services_Specialist_Course_Sequence_2025.pdf,https://www.mdc.edu/academics/programs/csg/CCC_HealthCareServicesSpecialist_csg.pdf,Downloaded
Healthcare Informatics Specialist,CCC,Course List,Healthcare_Informatics_Specialist_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/63014.pdf,Downloaded
Healthcare Informatics Specialist,CCC,Course Sequence,N/A,https://www.mdc.edu/healthinformatics/,PDF not found
Help Desk Support Technician,CCC,Course List,Help_Desk_Support_Technician_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/66037.pdf,Downloaded
Help Desk Support Technician,CCC,Course Sequence,N/A,https://www.mdc.edu/itsupporttechnician,PDF not found
Homeland Security,CCC,Course List,Homeland_Security_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/66074.pdf,Downloaded
Homeland Security,CCC,Course Sequence,N/A,https://www.mdc.edu/homelandsecurity/,PDF not found
Horticulture Professional,CCC,Course List,Horticulture_Professional_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/63025.pdf,Downloaded
Horticulture Professional,CCC,Course Sequence,N/A,https://www.mdc.edu/horticultureprofessional,PDF not found
Horticulture Specialist,CCC,Course List,Horticulture_Specialist_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/63026.pdf,Downloaded
Horticulture Specialist,CCC,Course Sequence,N/A,https://www.mdc.edu/horticulturespecialist,PDF not found
Infant/Toddler Specialization,CCC,Course List,InfantToddler_Specialization_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/67014.pdf,Downloaded
Infant/Toddler Specialization,CCC,Course Sequence,N/A,https://www.mdc.edu/infanttoddler/,PDF not found
